gb|13384-14226	MB-RF037|MB-RF093|MB-RF099
gb|ABA60809.1|ARO:3001141|SHV-89	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABA62022.1|ARO:3001913|CTX-M-51	MB-RF034|MB-RF048
gb|ABA71727.1|ARO:3002926|vanRG	MB-RF152
gb|ABA71728.1|ARO:3002937|vanSG	MB-RF153|MB-RF060
gb|ABA71729.1|ARO:3002959|vanYG1	MB-RF157
gb|ABA71730.1|ARO:3002965|vanWG	MB-RF155
gb|ABA71733.1|ARO:3002972|vanTG	MB-RF154
gb|ABA81355.1|ARO:3004291|Rhodobacter	MB-RF036
gb|ABB17185.1|ARO:3001914|CTX-M-52	MB-RF034|MB-RF048
gb|ABB43029.1|ARO:3002539|AAC(3)-IV	MB-RF002|MB-RF003|MB-RF011
gb|ABB59946.1|ARO:3001943|CTX-M-82	MB-RF034|MB-RF048
gb|ABB72225.1|ARO:3001915|CTX-M-53	MB-RF034|MB-RF048
gb|ABB72431.1|ARO:3002033|CMY-22	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ABB84515.1|ARO:3001014|TEM-147	MB-RF034|MB-RF127
gb|ABB97007.1|ARO:3000924|TEM-55	MB-RF034|MB-RF127
gb|ABC17627.1|ARO:3002547|AAC(6')-Ib-cr	MB-RF002|MB-RF003|MB-RF004|MB-RF011|MB-RF011|MB-RF012|MB-RF014|MB-RF004|MB-RF011
gb|ABC18328.3|ARO:3001916|CTX-M-54	MB-RF034|MB-RF048
gb|ABC26006.1|ARO:3001624|OXA-84	MB-RF037|MB-RF093|MB-RF101
gb|ABC26007.1|ARO:3001623|OXA-83	MB-RF037|MB-RF093|MB-RF101
gb|ABC54571.1|ARO:3001139|SHV-85	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABC58727.1|ARO:3001140|SHV-86	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABC61637.1|ARO:3001632|OXA-92	MB-RF037|MB-RF093|MB-RF101
gb|ABC68330.1|ARO:3002640|APH(3'')-Ic	MB-RF011|MB-RF018|MB-RF019
gb|ABC84263.1|ARO:3001704|OXA-87	MB-RF037|MB-RF093|MB-RF101
gb|ABC88434.1|ARO:3002213|IMP-22	MB-RF035|MB-RF063|MB-RF123
gb|ABC94518.1|ARO:3002283|VIM-13	MB-RF035|MB-RF123|MB-RF160
gb|ABC96711.1|ARO:3001016|TEM-149	MB-RF034|MB-RF127
gb|ABD30512.1|ARO:3000839|arlS	MB-RF006|MB-RF010|MB-RF086|MB-RF108|MB-RF060
gb|ABD48715.1|ARO:3001626|OXA-88	MB-RF037|MB-RF093|MB-RF101
gb|ABD58917.1|ARO:3002615|aadA15	MB-RF011|MB-RF012|MB-RF014
gb|ABD60314.1|ARO:3001005|TEM-142	MB-RF034|MB-RF127
gb|ABD73290.1|ARO:3001920|CTX-M-59	MB-RF034|MB-RF048
gb|ABE03012.1|ARO:3001625|OXA-89	MB-RF037|MB-RF093|MB-RF101
gb|ABF06441.1|ARO:3002034|CMY-23	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ABF33001.1|ARO:3003969|lmrP	MB-RF086|MB-RF142|MB-RF145
gb|ABF47914.1|ARO:3001627|OXA-91	MB-RF037|MB-RF093|MB-RF101
gb|ABF47916.1|ARO:3001628|OXA-93	MB-RF037|MB-RF093|MB-RF101
gb|ABF47917.1|ARO:3001629|OXA-94	MB-RF037|MB-RF093|MB-RF101
gb|ABF47918.1|ARO:3001630|OXA-95	MB-RF037|MB-RF093|MB-RF101
gb|ABF47919.1|ARO:3001631|OXA-96	MB-RF037|MB-RF093|MB-RF099
gb|ABF50909.1|ARO:3002521|OCH-8	MB-RF038|MB-RF046|MB-RF036
gb|ABF50983.1|ARO:3001437|OXA-67	MB-RF037|MB-RF093|MB-RF101
gb|ABF70513.1|ARO:3002221|IMP-30	MB-RF035|MB-RF063|MB-RF123
gb|ABG49324.1|ARO:3002609|aadA9	MB-RF011|MB-RF012|MB-RF014
gb|ABG72894.1|ARO:3002621|aadA24	MB-RF011|MB-RF012|MB-RF014
gb|ABG77582.1|ARO:3001021|TEM-155	MB-RF034|MB-RF127
gb|ABG77965.1|ARO:3004042|Enterobacter	MB-RF006|MB-RF086|MB-RF072|MB-RF081|MB-RF108
gb|ABG86067.1|ARO:3003773|Clostridium	MB-RF060|MB-RF087
gb|ABH04327.1|ARO:3001144|SHV-92	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABH10964.1|ARO:3002830|vgaALC	MB-RF006
gb|ABI18382.1|ARO:3003855|ADC-10	MB-RF036
gb|ABI34705.1|ARO:3001917|CTX-M-55	MB-RF034|MB-RF048
gb|ABI53716.1|ARO:3001649|OXA-99	MB-RF037|MB-RF093|MB-RF101
gb|ABI74447.1|ARO:3001019|TEM-152	MB-RF034|MB-RF127
gb|ABI74448.1|ARO:3001018|TEM-151	MB-RF034|MB-RF127
gb|ABI81768.1|ARO:3001023|TEM-157	MB-RF034|MB-RF127
gb|ABK33456.1|ARO:3002639|APH(3'')-Ib	MB-RF011|MB-RF018|MB-RF019
gb|ABK34773.1|ARO:3003868|ADC-25	MB-RF036
gb|ABK34774.1|ARO:3001615|OXA-66	MB-RF037|MB-RF093|MB-RF101
gb|ABK58097.1|ARO:3004825|LAP-1	MB-RF034
gb|ABL67017.1|ARO:3001823|ACT-3	MB-RF038|MB-RF043|MB-RF044|MB-RF038|MB-RF044|MB-RF045|MB-RF044|MB-RF038|MB-RF038|MB-RF045|MB-RF038|MB-RF044|MB-RF043|MB-RF036
gb|ABM54868.1|ARO:3002373|VEB-4	MB-RF034|MB-RF159
gb|ABM54869.1|ARO:3001025|TEM-159	MB-RF034|MB-RF127
gb|ABM54870.1|ARO:3001026|TEM-160	MB-RF034|MB-RF127
gb|ABM67078.1|ARO:3002210|IMP-19	MB-RF035|MB-RF063|MB-RF123
gb|ABM68358.1|ARO:3002215|IMP-24	MB-RF035|MB-RF063|MB-RF123
gb|ABM97538.1|ARO:3001919|CTX-M-58	MB-RF034|MB-RF048
gb|ABN09669.1|ARO:3001922|CTX-M-61	MB-RF034|MB-RF048
gb|ABN48311.1|ARO:3001918|CTX-M-56	MB-RF034|MB-RF048
gb|ABN49110.1|ARO:3001145|SHV-93	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABN49111.1|ARO:3001146|SHV-94	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABN49112.1|ARO:3001148|SHV-96	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABN49113.1|ARO:3001147|SHV-95	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABN49114.1|ARO:3001149|SHV-97	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABN51006.1|ARO:3002045|CMY-34	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ABN51007.1|ARO:3002046|CMY-35	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ABN69070.1|ARO:3002035|CMY-24	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ABN69105.1|ARO:3001926|CTX-M-65	MB-RF034|MB-RF048
gb|ABN69112.2|ARO:3002167|MIR-4	MB-RF038|MB-RF043|MB-RF044|MB-RF038|MB-RF044|MB-RF045|MB-RF038|MB-RF038|MB-RF045|MB-RF038|MB-RF044|MB-RF036
gb|ABN80430.1|ARO:3002375|VEB-5	MB-RF034|MB-RF159
gb|ABO09821.1|ARO:3001940|CTX-M-79	MB-RF034|MB-RF048
gb|ABO11759.2|ARO:3004573|Acinetobacter	MB-RF086
gb|ABO33299.1|ARO:3001647|OXA-97	MB-RF037|MB-RF093|MB-RF099
gb|ABO64442.1|ARO:3001028|TEM-162	MB-RF034|MB-RF127
gb|ABP04245.1|ARO:3001923|CTX-M-62	MB-RF034|MB-RF048
gb|ABP49606.1|ARO:3001818|ACC-4	MB-RF036|MB-RF038
gb|ABP87779.2|ARO:3001705|OXA-72	MB-RF037|MB-RF093|MB-RF100
gb|ABQ00181.1|ARO:3001024|TEM-158	MB-RF034|MB-RF127
gb|ABQ15112.1|ARO:3001802|OXA-141	MB-RF037|MB-RF093|MB-RF097
gb|ABQ45409.1|ARO:3001927|CTX-M-66	MB-RF034|MB-RF048
gb|ABQ47844.1|ARO:3000215|mecR1	MB-RF060|MB-RF080
gb|ABQ51091.1|ARO:3002039|CMY-28	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ABQ52429.1|ARO:3001636|OXA-104	MB-RF037|MB-RF093|MB-RF101
gb|ABR10839.1|ARO:3002586|AAC(6')-32	MB-RF004|MB-RF005|MB-RF011|MB-RF005|MB-RF011|MB-RF004|MB-RF011
gb|ABR10840.1|ARO:3002272|VIM-2	MB-RF035|MB-RF123|MB-RF160
gb|ABR18736.1|ARO:3002042|CMY-31	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ABS12248.1|ARO:3002040|CMY-29	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ABS12249.1|ARO:3002041|CMY-30	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ABS29619.1|ARO:3000841|CGB-1	MB-RF035|MB-RF065|MB-RF123
gb|ABS43151.1|ARO:3000784|cmeB	MB-RF006|MB-RF072|MB-RF086|MB-RF108
gb|ABS43901.1|ARO:3000783|cmeA	MB-RF006|MB-RF072|MB-RF086|MB-RF108
gb|ABS70977.1|ARO:3004623|AAC(3)-IId	MB-RF002|MB-RF003|MB-RF011
gb|ABS70978.1|ARO:3004621|AAC(3)-IIe	MB-RF002|MB-RF003|MB-RF011
gb|ABS71123.1|ARO:3001440|OXA-115	MB-RF037|MB-RF093|MB-RF101
gb|ABS72342.1|ARO:3001151|SHV-102	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABS72351.1|ARO:3001152|SHV-103	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABS90365.1|ARO:3001928|CTX-M-67	MB-RF034|MB-RF048
gb|ABU39979.1|ARO:3000217|blaR1	MB-RF060|MB-RF080
gb|ABU39980.1|ARO:3004749|BCL-1	MB-RF034
gb|ABU55430.1|ARO:3002591|AAC(6')-Ib-Suzhou	MB-RF002|MB-RF003|MB-RF004|MB-RF011|MB-RF011|MB-RF012|MB-RF014|MB-RF004|MB-RF011
gb|ABV18113.1|ARO:3001329|mdtG	MB-RF086|MB-RF142|MB-RF145
gb|ABV31686.1|ARO:3001637|OXA-106	MB-RF037|MB-RF093|MB-RF101
gb|ABV31687.1|ARO:3001638|OXA-107	MB-RF037|MB-RF093|MB-RF101
gb|ABV31688.1|ARO:3001639|OXA-108	MB-RF037|MB-RF093|MB-RF101
gb|ABV31689.1|ARO:3001640|OXA-109	MB-RF037|MB-RF093|MB-RF101
gb|ABV31690.1|ARO:3001641|OXA-110	MB-RF037|MB-RF093|MB-RF101
gb|ABV31691.1|ARO:3001642|OXA-111	MB-RF037|MB-RF093|MB-RF101
gb|ABV31692.1|ARO:3001643|OXA-112	MB-RF037|MB-RF093|MB-RF101
gb|ABV57756.3|ARO:3001942|CTX-M-81	MB-RF034|MB-RF048
gb|ABV63006.2|ARO:3004759|BPU-1	MB-RF093|MB-RF037|MB-RF060
gb|ABV71246.1|ARO:3001633|OXA-79	MB-RF037|MB-RF093|MB-RF101
gb|ABV71247.1|ARO:3001634|OXA-80	MB-RF037|MB-RF093|MB-RF101
gb|ABV71248.1|ARO:3001635|OXA-82	MB-RF037|MB-RF093|MB-RF101
gb|ABV72593.1|ARO:3001150|SHV-101	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABV81082.1|ARO:3001929|CTX-M-68	MB-RF034|MB-RF048
gb|ABV89601.1|ARO:3004826|LAP-2	MB-RF034
gb|ABW05394.1|ARO:3004450|TRU-1	MB-RF036|MB-RF038
gb|ABW06859.1|ARO:3000603|Erm(41)	MB-RF055|MB-RF058
gb|ABW70410.1|ARO:3001644|OXA-113	MB-RF037|MB-RF093|MB-RF101
gb|ABW76134.1|ARO:3001765|OXA-136	MB-RF037|MB-RF093
gb|ABW76138.1|ARO:3001767|OXA-137	MB-RF037|MB-RF093
gb|ABW86620.2|ARO:3001941|CTX-M-80	MB-RF034|MB-RF048
gb|ABW90721.1|ARO:3002287|VIM-17	MB-RF035|MB-RF123|MB-RF160
gb|ABW91178.1|ARO:3002613|aadA13	MB-RF011|MB-RF012|MB-RF014
gb|ABW91179.1|ARO:3004665|cmlA8	MB-RF086|MB-RF142|MB-RF145
gb|ABW95047.1|ARO:3001441|OXA-116	MB-RF037|MB-RF093|MB-RF101
gb|ABX00624.1|ARO:3002881|lmrC	MB-RF006
gb|ABX30738.1|ARO:3000621|PC1	MB-RF026|MB-RF034
gb|ABX38721.1|ARO:3001609|OXA-114a	MB-RF037|MB-RF093|MB-RF096
gb|ABX45061.1|ARO:3001444|OXA-122	MB-RF037|MB-RF093|MB-RF101
gb|ABX45062.1|ARO:3001445|OXA-123	MB-RF037|MB-RF093|MB-RF101
gb|ABX45063.1|ARO:3001446|OXA-124	MB-RF037|MB-RF093|MB-RF101
gb|ABX45064.1|ARO:3001447|OXA-125	MB-RF037|MB-RF093|MB-RF101
gb|ABX45065.1|ARO:3001448|OXA-126	MB-RF037|MB-RF093|MB-RF101
gb|ABX45066.1|ARO:3001449|OXA-127	MB-RF037|MB-RF093|MB-RF101
gb|ABX54687.1|ARO:3002910|vanL	MB-RF149
gb|ABX54689.1|ARO:3002973|vanTmL	MB-RF154
gb|ABX54690.1|ARO:3002974|vanTrL	MB-RF154
gb|ABX54691.1|ARO:3002927|vanRL	MB-RF152
gb|ABX54692.1|ARO:3002938|vanSL	MB-RF153|MB-RF060
gb|ABX71157.1|ARO:3001030|TEM-164	MB-RF034|MB-RF127
gb|ABX71158.1|ARO:3001153|SHV-104	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABY56290.1|ARO:3001118|SHV-63	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ABY58049.1|ARO:3002047|CMY-36	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ABY64751.1|ARO:3002667|rmtD	MB-RF001
gb|ABY77907.1|ARO:3001648|OXA-128	MB-RF037|MB-RF093|MB-RF101
gb|ABY79006.1|ARO:3001803|OXA-142	MB-RF037|MB-RF093|MB-RF094
gb|ABY91240.1|ARO:3002315|KPC-5	MB-RF034|MB-RF067
gb|ABY91281.1|ARO:3001930|CTX-M-69	MB-RF034|MB-RF048
gb|ABZ81086.1|ARO:3001829|ACT-4	MB-RF038|MB-RF043|MB-RF044|MB-RF038|MB-RF044|MB-RF045|MB-RF044|MB-RF038|MB-RF038|MB-RF045|MB-RF038|MB-RF044|MB-RF043|MB-RF036
gb|ACA30419.1|ARO:3002186|MOX-3	MB-RF036|MB-RF038|MB-RF039|MB-RF041|MB-RF038|MB-RF039
gb|ACA30420.1|ARO:3002036|CMY-25	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ACA30421.1|ARO:3002038|CMY-27	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ACA30422.1|ARO:3002051|CMY-40	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ACA34904.1|ARO:3002374|VEB-6	MB-RF034|MB-RF159
gb|ACA97846.1|ARO:3002043|CMY-32	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ACA97847.1|ARO:3002044|CMY-33	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ACB05808.1|ARO:3003109|msrE	MB-RF006
gb|ACB41775.1|ARO:3002216|IMP-25	MB-RF035|MB-RF063|MB-RF123
gb|ACB41777.1|ARO:3001947|CTX-M-87	MB-RF034|MB-RF048
gb|ACB54702.1|ARO:3002285|VIM-15	MB-RF035|MB-RF123|MB-RF160
gb|ACB54703.1|ARO:3002286|VIM-16	MB-RF035|MB-RF123|MB-RF160
gb|ACB71165.1|ARO:3002316|KPC-6	MB-RF034|MB-RF067
gb|ACB73258.1|ARO:3001112|SHV-56	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ACC55538.1|ARO:3001415|OXA-20	MB-RF037|MB-RF093|MB-RF097
gb|ACC95874.1|ARO:3003871|ADC-39	MB-RF036
gb|ACC99191.1|ARO:3001161|SHV-112	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ACD35503.1|ARO:3000572|tet(42)	MB-RF086|MB-RF142
gb|ACD45467.1|ARO:3001655|OXA-138	MB-RF037|MB-RF093|MB-RF101
gb|ACD84988.1|ARO:3001651|OXA-130	MB-RF037|MB-RF093|MB-RF101
gb|ACD84989.1|ARO:3001652|OXA-131	MB-RF037|MB-RF093|MB-RF101
gb|ACD84990.1|ARO:3001653|OXA-132	MB-RF037|MB-RF093|MB-RF101
gb|ACE62798.1|ARO:3002317|KPC-7	MB-RF034|MB-RF067
gb|ACE63186.1|ARO:3001702|OXA-133	MB-RF037|MB-RF093|MB-RF100
gb|ACE77058.1|ARO:3002366|PER-4	MB-RF034|MB-RF104
gb|ACF17980.1|ARO:3002616|aadA16	MB-RF011|MB-RF012|MB-RF014
gb|ACF32746.1|ARO:3001029|TEM-163	MB-RF034|MB-RF127
gb|ACF70723.1|ARO:3004103|QepA2	MB-RF086|MB-RF086|MB-RF142|MB-RF145
gb|ACH58980.1|ARO:3002482|LRA-1	MB-RF034
gb|ACH58985.1|ARO:3002485|LRA-2	MB-RF034|MB-RF070|MB-RF035|MB-RF125
gb|ACH58987.1|ARO:3002510|LRA-3	MB-RF034|MB-RF070|MB-RF035|MB-RF071|MB-RF125
gb|ACH58988.1|ARO:3002487|LRA-8	MB-RF034|MB-RF070|MB-RF035|MB-RF125
gb|ACH58989.1|ARO:3002488|LRA-9	MB-RF034|MB-RF070|MB-RF035|MB-RF071|MB-RF125
gb|ACH58990.1|ARO:3002511|LRA-12	MB-RF034|MB-RF070|MB-RF035|MB-RF071|MB-RF125
gb|ACH58991.1|ARO:3002484|LRA-13	MB-RF036
gb|ACH58994.1|ARO:3002512|LRA-17	MB-RF034|MB-RF070|MB-RF035|MB-RF071|MB-RF125
gb|ACH58997.1|ARO:3002492|LRA-18	MB-RF036
gb|ACH58998.1|ARO:3002486|LRA-7	MB-RF034|MB-RF070|MB-RF035|MB-RF071|MB-RF125
gb|ACH58999.1|ARO:3002489|LRA-10	MB-RF036
gb|ACH59002.1|ARO:3002483|LRA-5	MB-RF034
gb|ACH59005.1|ARO:3002513|LRA-19	MB-RF034|MB-RF070|MB-RF035|MB-RF071|MB-RF125
gb|ACH87088.1|ARO:3000196|tet32	MB-RF137|MB-RF142|MB-RF143
gb|ACI22621.1|ARO:3001154|SHV-105	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ACI25375.1|ARO:3001032|TEM-166	MB-RF034|MB-RF127
gb|ACI28281.1|ARO:3001779|OXA-146	MB-RF037|MB-RF093|MB-RF100
gb|ACI28880.1|ARO:3002575|AAC(6')-Iai	MB-RF004|MB-RF011
gb|ACI29345.1|ARO:3001944|CTX-M-83	MB-RF034|MB-RF048
gb|ACI29346.1|ARO:3001945|CTX-M-84	MB-RF034|MB-RF048
gb|ACI29347.1|ARO:3002495|CTX-M-85	MB-RF034|MB-RF048
gb|ACI29348.1|ARO:3001946|CTX-M-86	MB-RF034|MB-RF048
gb|ACI31326.1|ARO:3002584|AAC(6')-29b	MB-RF004|MB-RF011
gb|ACI89425.1|ARO:3002184|MOX-4	MB-RF036|MB-RF038|MB-RF039|MB-RF041|MB-RF038|MB-RF039
gb|ACI95258.1|ARO:3002318|KPC-8	MB-RF034|MB-RF067
gb|ACJ04051.1|ARO:3001033|TEM-167	MB-RF034|MB-RF127
gb|ACJ05361.1|ARO:3002054|CMY-43	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ACJ05686.1|ARO:3001825|ACT-6	MB-RF038|MB-RF043|MB-RF044|MB-RF038|MB-RF044|MB-RF045|MB-RF038|MB-RF038|MB-RF045|MB-RF038|MB-RF044|MB-RF036
gb|ACJ05688.1|ARO:3001830|ACT-7	MB-RF038|MB-RF043|MB-RF044|MB-RF038|MB-RF044|MB-RF045|MB-RF038|MB-RF038|MB-RF045|MB-RF038|MB-RF044|MB-RF036
gb|ACJ05689.1|ARO:3001824|ACT-5	MB-RF038|MB-RF043|MB-RF044|MB-RF038|MB-RF044|MB-RF045|MB-RF038|MB-RF038|MB-RF045|MB-RF038|MB-RF044|MB-RF036
gb|ACJ41547.2|ARO:3004574|Acinetobacter	MB-RF086
gb|ACJ41739.1|ARO:3000780|adeI	MB-RF006|MB-RF072|MB-RF081|MB-RF086|MB-RF108
gb|ACJ42146.1|ARO:3003796|Acinetobacter	MB-RF036
gb|ACJ43254.1|ARO:3000926|TEM-57	MB-RF034|MB-RF127
gb|ACJ47200.1|ARO:3002612|aadA12	MB-RF011|MB-RF012|MB-RF014
gb|ACJ61335.1|ARO:3002249|CARB-10	MB-RF030|MB-RF034
gb|ACJ65711.1|ARO:3002055|CMY-44	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ACK43806.1|ARO:3002617|aadA17	MB-RF011|MB-RF012|MB-RF014
gb|ACL19707.1|ARO:3003725|vanXI	MB-RF156
gb|ACL37342.1|ARO:3002592|AAC(6')-Ib-Hangzhou	MB-RF002|MB-RF003|MB-RF004|MB-RF011|MB-RF011|MB-RF012|MB-RF014|MB-RF004|MB-RF011
gb|ACL68095.1|ARO:3002431|OKP-A-14	MB-RF034|MB-RF113|MB-RF114|MB-RF115|MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF117|MB-RF119|MB-RF034|MB-RF113|MB-RF117|MB-RF118
gb|ACL68096.1|ARO:3002430|OKP-A-13	MB-RF034|MB-RF113|MB-RF114|MB-RF115|MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF117|MB-RF119|MB-RF034|MB-RF113|MB-RF117|MB-RF118|MB-RF114
gb|ACL82957.1|ARO:3002928|vanRM	MB-RF152
gb|ACL82958.1|ARO:3002939|vanSM	MB-RF153
gb|ACL82959.1|ARO:3002961|vanYM	MB-RF157
gb|ACL82960.1|ARO:3002947|vanHM	MB-RF151
gb|ACL82961.1|ARO:3002911|vanM	MB-RF147
gb|ACL82962.1|ARO:3002953|vanXM	MB-RF156
gb|ACM04459.1|ARO:3001158|SHV-109	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ACM47284|ARO:3002934|vanSD	MB-RF153
gb|ACM67635.1|ARO:3001800|OXA-226	MB-RF037|MB-RF093|MB-RF097
gb|ACM91559.1|ARO:3002319|KPC-9	MB-RF034|MB-RF067
gb|ACN22483.1|ARO:3002367|PER-5	MB-RF034|MB-RF104
gb|ACN32294.1|ARO:3000237|tolC	MB-RF006|MB-RF072|MB-RF086|MB-RF006|MB-RF072
gb|ACN62070.1|ARO:3003872|ADC-41	MB-RF036
gb|ACN62071.1|ARO:3003873|ADC-42	MB-RF036
gb|ACN62072.1|ARO:3003874|ADC-43	MB-RF036
gb|ACN62073.1|ARO:3003876|ADC-44	MB-RF036
gb|ACN65418.1|ARO:3002433|OKP-A-16	MB-RF034|MB-RF113|MB-RF114|MB-RF115|MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF117|MB-RF119|MB-RF034|MB-RF113|MB-RF117|MB-RF118|MB-RF114
gb|ACN65419.1|ARO:3002432|OKP-A-15	MB-RF034|MB-RF113|MB-RF114|MB-RF115|MB-RF034|MB-RF113|MB-RF114|MB-RF116|MB-RF034|MB-RF113|MB-RF117|MB-RF119|MB-RF034|MB-RF113|MB-RF117|MB-RF118
gb|ACN85419.1|ARO:3001804|OXA-145	MB-RF037|MB-RF093|MB-RF094
gb|ACO07310.1|ARO:3001020|TEM-154	MB-RF034|MB-RF127
gb|ACO56763.1|ARO:3002376|VEB-7	MB-RF034|MB-RF159
gb|ACO72579.1|ARO:3001801|OXA-147	MB-RF037|MB-RF093|MB-RF094
gb|ACP18863.1|ARO:3001948|CTX-M-88	MB-RF034|MB-RF048
gb|ACP18864.1|ARO:3001035|TEM-169	MB-RF034|MB-RF127
gb|ACQ82806.1|ARO:3002498|PDC-2	MB-RF036|MB-RF038|MB-RF047
gb|ACQ82807.1|ARO:3002497|PDC-1	MB-RF036|MB-RF038|MB-RF047
gb|ACQ82808.1|ARO:3002500|PDC-3	MB-RF036|MB-RF038|MB-RF047
gb|ACQ82809.1|ARO:3002501|PDC-4	MB-RF036|MB-RF038|MB-RF047
gb|ACQ82810.1|ARO:3002502|PDC-5	MB-RF036|MB-RF038|MB-RF047
gb|ACQ82811.1|ARO:3002505|PDC-6	MB-RF036|MB-RF038|MB-RF047
gb|ACQ82812.1|ARO:3002506|PDC-7	MB-RF036|MB-RF038|MB-RF047
gb|ACQ82813.1|ARO:3002507|PDC-8	MB-RF036|MB-RF038|MB-RF047
gb|ACQ82814.1|ARO:3002508|PDC-9	MB-RF036|MB-RF038|MB-RF047
gb|ACQ82815.1|ARO:3002509|PDC-10	MB-RF036|MB-RF038|MB-RF047
gb|ACQ82816.1|ARO:3004577|Acinetobacter	MB-RF086|MB-RF142|MB-RF145
gb|ACQ99521.1|ARO:3001950|CTX-M-90	MB-RF034|MB-RF048
gb|ACR22829.1|ARO:3001034|TEM-168	MB-RF034|MB-RF127
gb|ACR56321.1|ARO:3001949|CTX-M-89	MB-RF034|MB-RF048
gb|ACR66323.1|ARO:3001059|SHV-1	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ACS32293.1|ARO:3001935|CTX-M-74	MB-RF034|MB-RF048
gb|ACS32294.1|ARO:3001936|CTX-M-75	MB-RF034|MB-RF048
gb|ACS35345.1|ARO:3002320|KPC-10	MB-RF034|MB-RF067
gb|ACS44714.1|ARO:3002340|GES-11	MB-RF034|MB-RF059
gb|ACS44715.1|ARO:3002576|AAC(6')-Ib3	MB-RF002|MB-RF003|MB-RF004|MB-RF011|MB-RF011|MB-RF012|MB-RF014|MB-RF004|MB-RF011
gb|ACS44783.1|ARO:3002188|MOX-5	MB-RF036|MB-RF038|MB-RF039|MB-RF041|MB-RF038|MB-RF039
gb|ACS44784.1|ARO:3002185|MOX-6	MB-RF036|MB-RF038|MB-RF039|MB-RF041|MB-RF038|MB-RF039
gb|ACS44785.1|ARO:3002189|MOX-7	MB-RF036|MB-RF038|MB-RF039|MB-RF041|MB-RF038|MB-RF039
gb|ACS73598.1|ARO:3002339|GES-10	MB-RF034|MB-RF059
gb|ACS83748.1|ARO:3000573|tet(43)	MB-RF086|MB-RF142|MB-RF145
gb|ACT09125.1|ARO:3001799|OXA-161	MB-RF037|MB-RF093|MB-RF097
gb|ACT09140.1|ARO:3002387|BEL-3	MB-RF034|MB-RF059
gb|ACT33323.1|ARO:3002293|VIM-23	MB-RF035|MB-RF123|MB-RF160
gb|ACT66697.1|ARO:3000846|SIM-1	MB-RF035|MB-RF063|MB-RF123
gb|ACT97371.1|ARO:3003097|CfxA6	MB-RF033|MB-RF034
gb|ACT97415.1|ARO:3002999|CblA-1	MB-RF031|MB-RF034
gb|ACU00152.1|ARO:3002086|CMY-73	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ACU00153.1|ARO:3001974|CTX-M-114	MB-RF034|MB-RF048
gb|ACV13198.1|ARO:3002290|VIM-20	MB-RF035|MB-RF123|MB-RF160
gb|ACV32310.1|ARO:3002060|CMY-49	MB-RF036|MB-RF038|MB-RF040|MB-RF038
gb|ACV32633.1|ARO:3001170|SHV-123	MB-RF034|MB-RF113|MB-RF114|MB-RF115
gb|ACV32634.1|ARO:3001171|SHV-124	MB-RF034|MB-RF113|MB-RF114|MB-RF115
